,datetime,sales,week,soldout,name,kcal,event,payday,weather,precipitation,temperature,month,days,period
55,2014-02-17,137,月,1,チンジャオロース,416.0,,0.0,晴れ,0.0,11.6,2,17,中旬
56,2014-02-18,99,火,0,海老フライとホタテ串カツ,426.0,,0.0,晴れ,0.0,6.8,2,18,中旬
57,2014-02-19,113,水,0,ハンバーグ和風きのこソース,405.0,,0.0,薄曇,0.0,7.3,2,19,中旬
58,2014-02-20,85,木,1,タンドリーチキン,426.0,,0.0,薄曇,0.0,5.4,2,20,中旬
59,2014-02-21,113,金,0,酢豚orカレー,410.0,ママの会,0.0,快晴,0.0,8.5,2,21,下旬
60,2014-02-24,129,月,1,ポークハヤシ,408.0,,0.0,曇,0.0,6.6,2,24,下旬
61,2014-02-25,104,火,0,マーボ豆腐,396.0,,0.0,快晴,0.0,10.5,2,25,下旬
62,2014-02-26,104,水,0,鶏チリソース,384.0,,0.0,晴れ,0.0,11.5,2,26,下旬
63,2014-02-27,90,木,1,白身魚唐揚げ野菜あんかけ,436.0,,0.0,雨,0.0,8.5,2,27,下旬
64,2014-02-28,69,金,0,手作りひれかつ,428.0,,0.0,晴れ,0.0,17.7,2,28,下旬
65,2014-03-03,131,月,0,ハンバーグカレーソース,407.0,,0.0,曇,0.0,7.8,3,3,上旬
66,2014-03-04,100,火,1,回鍋肉,413.0,,0.0,晴れ,0.0,8.3,3,4,上旬
67,2014-03-05,110,水,1,メンチカツ,393.0,,0.0,雨,1.5,6.1,3,5,上旬
68,2014-03-06,77,木,0,チキンクリームシチュー,409.0,,0.0,快晴,0.0,6.7,3,6,上旬
69,2014-03-07,73,金,1,ボローニャ風カツ,396.0,,0.0,快晴,0.0,7.0,3,7,上旬
70,2014-03-10,123,月,0,海老クリーミ―クノーデル,385.0,,1.0,曇,0.0,7.6,3,10,上旬
71,2014-03-11,89,火,0,肉じゃが,397.0,,0.0,快晴,0.0,8.7,3,11,中旬
72,2014-03-12,68,水,0,ビーフカレー,370.0,,0.0,快晴,0.0,14.8,3,12,中旬
73,2014-03-13,80,木,1,手作りロースカツ,372.0,,0.0,雨,0.5,15.2,3,13,中旬
74,2014-03-14,70,金,1,カレイ野菜あんかけ,360.0,ママの会,0.0,曇,0.0,11.5,3,14,中旬
75,2014-03-17,129,月,0,鶏の唐揚げおろしソース,382.0,,0.0,快晴,0.0,14.0,3,17,中旬
76,2014-03-18,90,火,1,チーズ入りハンバーグ,400.0,,0.0,晴れ,0.0,18.9,3,18,中旬
77,2014-03-19,72,水,1,越冬キャベツのメンチカツ,392.0,,0.0,曇,0.0,12.6,3,19,中旬
78,2014-03-20,100,木,1,鶏の親子煮,372.0,キャリアアップ支援セミナー,0.0,雨,0.5,7.5,3,20,中旬
79,2014-03-24,102,月,0,マーボ豆腐,350.0,,0.0,快晴,0.0,17.4,3,24,下旬
80,2014-03-25,77,火,0,手作りひれかつ,407.0,,0.0,快晴,0.0,18.9,3,25,下旬
81,2014-03-26,51,水,0,肉団子クリームシチュー,392.0,,0.0,曇,0.0,18.7,3,26,下旬
82,2014-03-27,55,木,1,ロース甘味噌焼き,315.0,,0.0,曇,1.5,12.4,3,27,下旬
84,2014-03-31,84,月,0,青椒肉絲,349.0,,0.0,晴れ,0.0,17.5,3,31,下旬
85,2014-04-01,125,火,1,メンチカツ,377.0,,0.0,薄曇,0.0,16.1,4,1,上旬
86,2014-04-02,99,水,0,肉じゃが,380.0,,0.0,薄曇,0.0,18.2,4,2,上旬
87,2014-04-03,100,木,1,酢豚,390.0,,0.0,雨,1.0,14.3,4,3,上旬
88,2014-04-04,90,金,1,和風ソースハンバーグ,350.0,,0.0,晴れ,0.0,17.8,4,4,上旬
89,2014-04-07,107,月,0,青梗菜牛肉炒め,387.0,,0.0,快晴,0.0,13.8,4,7,上旬
90,2014-04-08,96,火,1,肉団子のシチュー,353.0,,0.0,快晴,0.0,20.1,4,8,上旬
91,2014-04-09,88,水,1,青椒肉絲,376.0,,0.0,晴れ,0.0,19.0,4,9,上旬
92,2014-04-10,87,木,0,鶏の唐揚げおろしソース,362.0,,1.0,晴れ,0.0,21.3,4,10,上旬
94,2014-04-14,92,月,0,ビーフトマト煮,340.0,,0.0,晴れ,0.0,16.4,4,14,中旬
95,2014-04-15,82,火,0,ポーク生姜焼き,370.0,,0.0,快晴,0.0,19.7,4,15,中旬
96,2014-04-16,57,水,0,カレイ唐揚げ野菜あんかけ,330.0,,0.0,薄曇,0.0,21.5,4,16,中旬
97,2014-04-17,57,木,0,牛丼風煮,333.0,,0.0,快晴,0.0,20.1,4,17,中旬
98,2014-04-18,56,金,1,鶏の味噌漬け焼き,325.0,ママの会,0.0,曇,0.0,11.4,4,18,中旬
99,2014-04-21,109,月,0,牛肉筍煮,375.0,キャリアアップ支援セミナー,0.0,曇,0.0,16.4,4,21,下旬
100,2014-04-22,78,火,1,マーボ豆腐,382.0,,0.0,曇,0.0,18.8,4,22,下旬
101,2014-04-23,63,水,0,手作りひれかつ,340.0,,0.0,快晴,0.0,19.4,4,23,下旬
102,2014-04-24,56,木,1,鶏の照り焼きマヨ,360.0,,0.0,晴れ,0.0,19.9,4,24,下旬
104,2014-04-28,54,月,0,タンドリーチキン,342.0,,0.0,晴れ,0.0,22.7,4,28,下旬
105,2014-04-30,97,水,1,豚味噌メンチカツ,368.0,,0.0,雨,0.5,17.5,4,30,下旬
106,2014-05-01,64,木,0,マーボ茄子,415.0,,0.0,晴れ,0.0,24.0,5,1,上旬
107,2014-05-02,47,金,0,鶏の天ぷら,420.0,,0.0,晴れ,0.0,23.3,5,2,上旬
108,2014-05-07,88,水,1,肉じゃが,415.0,,0.0,晴れ,0.0,18.9,5,7,上旬
109,2014-05-08,59,木,0,メンチカツ,405.0,,0.0,薄曇,0.0,21.0,5,8,上旬
110,2014-05-09,58,金,1,手作りチキンカツ,434.0,,1.0,晴れ,0.0,23.4,5,9,上旬
111,2014-05-12,73,月,0,きのこソースハンバーグ,400.0,,0.0,薄曇,0.0,22.7,5,12,中旬
112,2014-05-13,70,火,1,白身魚唐揚げ野菜餡かけ,428.0,,0.0,雨,0.0,18.6,5,13,中旬
113,2014-05-14,64,水,1,メンチカツ,430.0,,0.0,薄曇,0.0,26.0,5,14,中旬
114,2014-05-15,58,木,1,タンドリーチキン,403.0,,0.0,曇,0.0,19.3,5,15,中旬
116,2014-05-19,70,月,1,豚肉と茄子のピリ辛炒め,406.0,キャリアアップ支援セミナー,0.0,曇,0.0,22.8,5,19,中旬
117,2014-05-20,71,火,0,鶏の味噌漬け焼き,425.0,,0.0,薄曇,0.0,23.9,5,20,中旬
118,2014-05-21,104,水,1,チーズハンバーグ,430.0,,0.0,雨,6.0,17.4,5,21,下旬
119,2014-05-22,54,木,1,サーモンのムニエル2色ソース,428.0,,0.0,雷電,0.0,19.0,5,22,下旬
120,2014-05-23,65,金,0,牛肉コロッケ,400.0,,0.0,薄曇,0.0,19.8,5,23,下旬
121,2014-05-26,77,月,1,鶏のカッシュナッツ炒め,430.0,,0.0,薄曇,0.0,23.9,5,26,下旬
122,2014-05-27,79,火,0,牛肉すき焼き風,423.0,,0.0,曇,0.0,23.7,5,27,下旬
123,2014-05-28,74,水,1,鶏の唐揚げおろしソース,414.0,,0.0,晴れ,0.0,25.7,5,28,下旬
124,2014-05-29,64,木,1,いか天ぷら,438.0,,0.0,快晴,0.0,26.0,5,29,下旬
126,2014-06-02,74,月,0,ハンバーグケッチャップソース,420.0,,0.0,薄曇,0.0,30.6,6,2,上旬
127,2014-06-03,59,火,0,ゴーヤチャンプルー,418.0,,0.0,薄曇,0.0,27.0,6,3,上旬
128,2014-06-04,47,水,0,たっぷりベーコンフライ,424.0,,0.0,晴れ,0.0,27.5,6,4,上旬
129,2014-06-05,64,木,1,鶏の味噌漬け焼き,405.0,,0.0,雨,0.0,21.5,6,5,上旬
130,2014-06-06,93,金,0,手作りロースカツ,430.0,,0.0,雨,6.5,19.9,6,6,上旬
131,2014-06-09,74,月,1,牛肉ニンニクの芽炒め,417.0,,0.0,雨,0.0,25.0,6,9,上旬
132,2014-06-10,56,火,0,カレイ唐揚げ野菜餡かけ,426.0,,1.0,曇,0.0,25.5,6,10,上旬
133,2014-06-11,50,水,1,チャプチェ,413.0,,0.0,雨,2.5,22.3,6,11,中旬
134,2014-06-12,72,木,1,タンドリーチキン,440.0,,0.0,雨,0.5,21.3,6,12,中旬
136,2014-06-16,76,月,1,牛すき焼き風,440.0,,0.0,薄曇,0.0,28.1,6,16,中旬
137,2014-06-17,63,火,0,ポークソテー韓国ソース,427.0,,0.0,薄曇,0.0,27.6,6,17,中旬
138,2014-06-18,66,水,1,ビーフストロガノフ,426.0,,0.0,雨,0.0,21.9,6,18,中旬
139,2014-06-19,56,木,0,アジ唐揚げ南蛮ソース,430.0,,0.0,晴れ,0.0,27.5,6,19,中旬
140,2014-06-20,57,金,0,炊き込みご飯,407.0,,0.0,薄曇,0.0,26.5,6,20,中旬
141,2014-06-23,72,月,0,マーボ茄子,421.0,,0.0,曇,0.0,26.9,6,23,下旬
142,2014-06-24,61,火,0,鶏のトマトシチュー,430.0,,0.0,曇,0.0,23.7,6,24,下旬
143,2014-06-25,64,水,1,豚の冷しゃぶ,420.0,,0.0,雨,0.0,25.2,6,25,下旬
144,2014-06-26,49,木,0,キスと野菜の天ぷら,414.0,,0.0,曇,0.0,25.2,6,26,下旬
146,2014-06-30,65,月,0,鶏の塩から揚げ,435.0,,0.0,薄曇,0.0,25.5,6,30,下旬
147,2014-07-01,54,火,0,カレイ唐揚げ夏野菜あん,362.0,,0.0,曇,0.0,28.3,7,1,上旬
148,2014-07-02,50,水,1,タンドリーチキン,363.0,,0.0,快晴,0.0,28.8,7,2,上旬
149,2014-07-03,53,木,0,白身魚ムニエル,412.0,,0.0,薄曇,0.0,27.0,7,3,上旬
150,2014-07-04,63,金,0,手作りトンカツ,432.0,,0.0,雨,0.5,22.1,7,4,上旬
151,2014-07-07,82,月,1,和風ハンバーグ,354.0,,0.0,雨,0.5,24.0,7,7,上旬
152,2014-07-08,56,火,0,かじきの甘辛煮,370.0,,0.0,晴れ,0.0,29.7,7,8,上旬
153,2014-07-09,54,水,1,チキンのコーンクリーム焼き,388.0,,0.0,雨,0.0,24.6,7,9,上旬
154,2014-07-10,48,木,0,プルコギ,386.0,,1.0,曇,0.0,28.8,7,10,上旬
156,2014-07-14,65,月,1,鶏のから揚げねぎ塩炒めソース,418.0,,0.0,薄曇,0.0,30.9,7,14,中旬
157,2014-07-15,51,火,0,豚冷シャブ野菜添え,324.0,,0.0,晴れ,0.0,30.3,7,15,中旬
158,2014-07-16,53,水,1,白身魚フライ,434.0,,0.0,晴れ,0.0,30.9,7,16,中旬
159,2014-07-17,53,木,1,豚すき焼き,418.0,ママの会,0.0,晴れ,0.0,30.1,7,17,中旬
160,2014-07-18,55,金,1,エビフライ,401.0,,0.0,曇,0.0,25.6,7,18,中旬
161,2014-07-22,53,火,0,チンジャオロース,409.0,,0.0,晴れ,0.0,30.2,7,22,下旬
162,2014-07-23,56,水,1,八宝菜,355.0,,0.0,薄曇,0.0,32.0,7,23,下旬
163,2014-07-24,62,木,1,ジャンボチキンカツ,410.0,,0.0,曇,0.0,32.5,7,24,下旬
165,2014-07-28,65,月,1,豚肉のマスタード焼き,432.0,,0.0,晴れ,0.0,28.9,7,28,下旬
166,2014-07-29,52,火,0,バーベキューチキン,449.0,,0.0,晴れ,0.0,30.4,7,29,下旬
167,2014-07-30,58,水,0,メンチカツ,441.0,,0.0,晴れ,0.0,30.6,7,30,下旬
168,2014-07-31,60,木,0,鶏のから揚げスイートチリソース,386.0,,0.0,晴れ,0.0,32.5,7,31,下旬
169,2014-08-01,38,金,0,豚肉の生姜焼き,380.0,,0.0,薄曇,0.0,32.7,8,1,上旬
170,2014-08-04,75,月,1,ハンバーグ（デミきのこバター）,410.0,,0.0,曇,0.0,32.7,8,4,上旬
171,2014-08-05,54,火,1,鶏肉のカレー唐揚,400.0,,0.0,快晴,0.0,34.3,8,5,上旬
172,2014-08-06,58,水,1,豚キムチ炒め,410.0,,0.0,快晴,0.0,34.6,8,6,上旬
173,2014-08-07,63,木,0,チキン香草焼きマスタードソース,415.0,,0.0,晴れ,0.0,32.1,8,7,上旬
175,2014-08-11,45,月,0,サーモンフライ・タルタル,411.0,,0.0,晴れ,0.0,32.4,8,11,中旬
176,2014-08-12,40,火,1,厚切ハムカツ,400.0,,0.0,雨,0.0,29.4,8,12,中旬
177,2014-08-18,56,月,0,洋食屋さんのメンチカツ,396.0,,0.0,曇,0.0,32.2,8,18,中旬
178,2014-08-19,53,火,1,牛スキヤキ,385.0,,0.0,晴れ,0.0,33.3,8,19,中旬
179,2014-08-20,56,水,0,豚ロースのピザ風チーズ焼き,423.0,ママの会,0.0,快晴,0.0,33.3,8,20,中旬
180,2014-08-21,54,木,0,チキン南蛮,405.0,キャリアアップ支援セミナー,0.0,薄曇,0.0,33.0,8,21,下旬
182,2014-08-25,55,月,0,白身魚の南部焼き,412.0,,0.0,曇,0.0,26.0,8,25,下旬
183,2014-08-26,68,火,0,キーマカレー,400.0,,0.0,雨,0.0,26.2,8,26,下旬
184,2014-08-27,62,水,0,カレイの唐揚げ,410.0,,0.0,曇,0.0,21.0,8,27,下旬
185,2014-08-28,56,木,0,豚肉の胡麻シャブ,396.0,,0.0,雨,0.0,21.6,8,28,下旬
186,2014-08-29,39,金,0,チキンの辛味噌焼き,398.0,,0.0,曇,0.0,25.1,8,29,下旬
187,2014-09-01,65,月,1,ビーフシチュー,380.0,,0.0,曇,0.0,23.4,9,1,上旬
188,2014-09-02,68,火,1,名古屋味噌カツ,440.0,,0.0,晴れ,0.0,29.1,9,2,上旬
189,2014-09-03,53,水,0,親子煮,408.0,,0.0,曇,0.0,26.7,9,3,上旬
190,2014-09-04,54,木,1,チキンステーキ・きのこソース,405.0,,0.0,曇,0.0,26.5,9,4,上旬
191,2014-09-05,43,金,0,メンチカツ,380.0,,0.0,晴れ,0.0,30.2,9,5,上旬
192,2014-09-08,68,月,1,鶏肉の山賊焼き,385.0,,0.0,曇,0.0,23.1,9,8,上旬
193,2014-09-09,63,火,0,ハンバーグデミソース,460.0,,0.0,晴れ,0.0,26.8,9,9,上旬
194,2014-09-10,54,水,0,ぶりレモンペッパー焼き,450.0,,1.0,曇,0.0,25.0,9,10,上旬
195,2014-09-11,53,木,0,手作りチキンカツ,385.0,,0.0,曇,0.0,21.9,9,11,中旬
197,2014-09-16,56,火,0,チーズメンチカツ,438.0,,0.0,晴れ,0.0,28.8,9,16,中旬
198,2014-09-17,49,水,0,チキンフリカッセ,430.0,ママの会,0.0,曇,0.0,25.0,9,17,中旬
199,2014-09-18,46,木,0,カレイ唐揚げ 甘酢あん,395.0,,0.0,曇,0.0,24.1,9,18,中旬
200,2014-09-19,45,金,0,厚切イカフライ,400.0,,0.0,薄曇,0.0,23.6,9,19,中旬
201,2014-09-22,29,月,0,筑前煮,395.0,,0.0,晴れ,0.0,25.2,9,22,下旬
202,2014-09-24,59,水,1,白身魚のマスタード焼き,408.0,,0.0,曇,0.0,24.8,9,24,下旬
203,2014-09-25,50,木,0,牛カルビ焼き肉,394.0,,0.0,曇,0.0,25.4,9,25,下旬
205,2014-09-29,56,月,1,豚肉と玉子の炒め,404.0,,0.0,快晴,0.0,26.6,9,29,下旬
206,2014-09-30,40,火,0,鶏肉とカシューナッツ炒め,398.0,,0.0,快晴,0.0,28.1,9,30,下旬
